file1,file2,similarity
The_Hurst_Home.txt,The_Hurst_Home.txt,1.0
Grays_Creek_high_School.txt,Grays_Creek_high_School.txt,1.0
Cheyenne_Canyon.txt,Cheyenne_Canyon.txt,1.0
Indiana_University_Bloomington.txt,Indiana_University_Bloomington.txt,1.0
Civic_Arena.txt,Civic_Arena.txt,1.0
The_Haunted_Tunnel.txt,The_Haunted_Tunnel.txt,1.0
end_of_St_Marys_Rd.txt,end_of_St_Marys_Rd.txt,1.0
St_rose_church.txt,St_rose_church.txt,1.0
The_Copper_Queen_Hotel.txt,The_Copper_Queen_Hotel.txt,1.0
Slocomb_House.txt,Slocomb_House.txt,1.0
Portland_Family_Health_Center.txt,Portland_Family_Health_Center.txt,1.0
Geneva.txt,Geneva.txt,1.0
Austin_Peay_State_University.txt,Austin_Peay_State_University.txt,1.0
Baleroy.txt,Baleroy.txt,1.0
St_Xavier_Church.txt,St_Xavier_Church.txt,1.0
Devils_Pond.txt,Devils_Pond.txt,1.0
The_Columbus_Inn.txt,The_Columbus_Inn.txt,1.0
San_Buena_Ventura_Mission.txt,San_Buena_Ventura_Mission.txt,1.0
Glen_Helen.txt,Glen_Helen.txt,1.0
Spike.txt,Spike.txt,1.0
Auburn_High_School_Auditorium_Pit_and_Cat_Walk_are.txt,Auburn_High_School_Auditorium_Pit_and_Cat_Walk_are.txt,1.0
Carters_Grove_Plantation.txt,Carters_Grove_Plantation.txt,1.0
Zane_Grey_Mansion.txt,Zane_Grey_Mansion.txt,1.0
Fort_Casey.txt,Fort_Casey.txt,1.0
Davies_County_Middle_School.txt,Davies_County_Middle_School.txt,1.0
Crook_Park.txt,Crook_Park.txt,1.0
The_Railroad_Track_Light.txt,The_Railroad_Track_Light.txt,1.0
Summer_Cut_Bridge.txt,Summer_Cut_Bridge.txt,1.0
Richmond_Heights_High_School.txt,Richmond_Heights_High_School.txt,1.0
Medlar_View_Elementary.txt,Medlar_View_Elementary.txt,1.0
Duluth_International_Airport.txt,Duluth_International_Airport.txt,1.0
old_Chicago_road.txt,old_Chicago_road.txt,1.0
Huntington_Playhouse.txt,Huntington_Playhouse.txt,1.0
Hale_Lake.txt,Hale_Lake.txt,1.0
Hot_Springs_Hotel.txt,Hot_Springs_Hotel.txt,1.0
Fox_Theater.txt,Fox_Theater.txt,1.0
Cascade.txt,Cascade.txt,1.0
Woodland.txt,Woodland.txt,1.0
Motel_6.txt,Motel_6.txt,1.0
Edison_Middle_School.txt,Edison_Middle_School.txt,1.0
Georgetown.txt,Georgetown.txt,1.0
Gold_Hill.txt,Gold_Hill.txt,1.0
Arizona_State_Prison_Complex_Death_House.txt,Arizona_State_Prison_Complex_Death_House.txt,1.0
The_Ice_house.txt,The_Ice_house.txt,1.0
Pikeville_College.txt,Pikeville_College.txt,1.0
Universal_Studios.txt,Universal_Studios.txt,1.0
Fort_Jackson.txt,Fort_Jackson.txt,1.0
The_Old_Opera_House.txt,The_Old_Opera_House.txt,1.0
